genuine_euclidean,impostor_euclidean,genuine_cosine,impostor_cosine
412.48222404761947,1363.1792617629128,0.9912162366228371,0.9774953955899494
324.22833759289284,1180.6210964735035,0.9961718103668171,0.9615366355417614
623.8450675965032,1437.8649353043943,0.9839164646216533,0.9531330849470663
391.70441128428797,1424.388531393491,0.9921953163823466,0.9652650837967878
347.9354583464193,1481.9351154791714,0.9937537068286232,0.970048735105547
152.5028278271596,1095.3303364481114,0.996836389245786,0.9410497924341388
225.60459869803486,1348.0937401184915,0.9927873400275842,0.971111230712528
181.3931176073745,1299.4617747186676,0.9951916959800258,0.9687612360165457
133.78591424636878,1804.557776300353,0.9974368261163494,0.9607418526978976
159.54844627296362,1439.3968866464984,0.9963071010244505,0.9597489783287173
517.0306175094073,1750.2404852116001,0.985727831799475,0.9696979877381052
238.95030539436524,1543.9354408700713,0.9948268228249555,0.9582822016098521
256.2454031756141,1805.8307187827832,0.9940261830372366,0.9270941886985266
579.1823308821786,1402.833922779156,0.9850871710813333,0.9520997076991946
193.3911707701081,1668.8462547027393,0.9960818325795294,0.9680907740393748
221.55098139549392,1371.7292696388884,0.9946057059663468,0.94107373578484
297.38519393402925,1569.6817921689624,0.9880262222412746,0.940118288269912
248.41499261561268,1419.626519162704,0.9930059815507408,0.9451591381357105
231.65430406576652,1473.4187336809289,0.9940572664368357,0.9619541950035027
317.86395710801315,1554.836223012141,0.9860982301884724,0.9408370788919986
235.45196088445897,1425.301072261806,0.9931277552132912,0.9604429558779085
225.64850888094412,1799.8473746284799,0.9927001716674542,0.9530883063652411
263.8254219695961,1573.406164524185,0.9937347709751043,0.9501666663054336
272.9993998406135,1384.6023351782044,0.9889297817391303,0.9597071703673321
180.02357615880905,1740.6651672339221,0.995191967884328,0.9388073439947153
213.0871694769282,1651.5942595545707,0.9930910406986795,0.9475450023356996
216.9549345504541,1577.4577508240893,0.992366689699532,0.973438882411783
278.0288488872657,1196.3565338195558,0.9889193973952103,0.9679822130755292
282.15758840624045,1324.8334616900904,0.98693279124165,0.957832272263516
294.17272745567266,1381.7057370227824,0.9862349833542029,0.9510330215817234
403.82724674600985,1460.1761384920835,0.9936582270449004,0.9572577557456394
336.2112663238302,1061.0222051077176,0.9920759993239969,0.9609013659490101
444.14007662867925,1374.987306221531,0.9935170929083603,0.9556075678766174
458.34503286618354,1020.8542712379221,0.9916592281302272,0.9762417520487761
498.3718316252314,954.2976006382042,0.9841006219778751,0.9720669914426869
186.503217859044,1222.7543385054403,0.9964913984858536,0.9710617265918928
170.10764673731197,1784.2010331635674,0.9960506923989971,0.9473077913244299
168.74201778055496,1253.4188137449596,0.9977986391132665,0.9696692526191113
132.5213317268463,1432.7711212836327,0.9977808660145092,0.9639286457505578
155.66315865158688,1309.6093267374606,0.9971071618075714,0.9571925603940413
171.56970766283595,1383.406306912582,0.9967977465730501,0.9779601863955667
267.7949998241821,1077.9633408923225,0.9916646488454963,0.961935302160971
286.7032145139887,1166.0519764938442,0.9915107310489435,0.9637151306569843
273.18487001421954,1130.1462790649166,0.9924982361956206,0.9647719740455396
253.13912498213753,1461.0061921062907,0.9931397959164835,0.9518327362072971
205.25163755485835,980.4311976093014,0.9960853259753742,0.9702014186435745
223.14379403270112,1293.612606865281,0.9965764829617489,0.9471524237861538
174.31123540379724,1500.5938790827968,0.996890290707641,0.9414682607380335
188.0511674134398,1167.3097213635754,0.9960136946927218,0.9659592038370564
136.57998431879292,1362.2757418737463,0.9953909325631716,0.9655499463750062
263.5711411427034,1616.8924398263164,0.990100624759766,0.9398323735893852
275.46829095569467,1906.8176542951037,0.9903597192456269,0.9425970458628707
267.19638764427623,1213.2265396389407,0.9913870685705026,0.9599321256067227
278.3563548167966,1323.7721086678168,0.9885891236597499,0.9688102347118899
256.10152881633513,1228.4284914275238,0.9903452529295326,0.961916312029456
150.62538714028307,1145.1402091294879,0.9959149338565181,0.9465554426049868
208.7996788130522,1366.9399569552343,0.9939207686138799,0.9467587296201079
254.998008625334,1534.1475909378087,0.9890210316245728,0.9584308499155277
172.84853837134224,1591.8972681079708,0.9959115519518065,0.9669902682749744
184.1680884701316,1589.581525775243,0.9952177061602935,0.9306110189940449
99.0317735359459,1381.2246032891512,0.998347694606462,0.9699875547460488
123.53478002879955,1236.6765188569386,0.9978963166638387,0.9230715988235424
167.71261111270877,1354.089386016345,0.9965341179197424,0.9401684238757098
257.3099528195327,1812.437767396037,0.9928604328063818,0.9485649995453015
228.38065778716768,1617.8340971065202,0.9957587926039573,0.9582762866317023
120.32601839288583,1412.882168754767,0.9969264536322889,0.9488615415184001
124.83081974992025,1451.5730132529325,0.9966484924204486,0.9313298517893495
127.0373938686872,1645.9124858475693,0.9965567767641443,0.950507151303304
122.777088735517,1319.3526963386403,0.9967388796713318,0.9431590012250737
136.3910798627245,1646.5120407439153,0.9959572517526819,0.9709753142625115
277.68091742301766,1685.9697379051952,0.9896829985784454,0.9644277488115426
459.2010549897492,1306.7375062375986,0.9781463303919057,0.9529865561401302
429.20397386697124,1566.3059734502458,0.9823690378265911,0.9763120675601324
269.2023936244208,1737.3557608294443,0.9937791422339667,0.9566883838445474
216.5018202237814,1536.3380062316037,0.9944852696360277,0.9522755556726454
142.04775409346317,1648.955728279472,0.9964223216861654,0.9688492454856346
177.8427546277379,1503.0471198544215,0.9950304429084862,0.9637531728518759
209.94558158817216,1686.1702889968594,0.9910003217914544,0.9638911376615594
341.7911449273337,1669.0611077557887,0.9752083802332384,0.9499938017574381
261.7485083508375,1416.6698408783575,0.9855279736284334,0.9624136884486185
767.7936157909003,1725.361474507056,0.9277974902713225,0.9530870646903703
838.7925025404094,1606.7321980929767,0.9137964484830394,0.9509352720080936
806.6498662270229,1856.4806021772167,0.9204443288913885,0.9552350709484095
1018.3819520418305,1033.8175997674534,0.8828546749828811,0.9436602557764646
986.0513887802758,968.7164041037997,0.8880474513793862,0.9510282273538797
215.20569723724878,1159.6076790613306,0.9925959557321722,0.9503133560999462
194.29579051728862,1260.8177398752844,0.9958697038079278,0.9624011000531302
192.85138962650402,947.0147618058578,0.9943759666673255,0.9708304309371929
209.953291448184,1401.2164519607877,0.9955729579828897,0.954504495580009
195.90306550090654,1212.6634064672764,0.9938801134713215,0.9327744894466542
273.2832552101704,1285.797418826856,0.990265137294773,0.9602044668129183
239.26464074027686,1706.879499286422,0.9924795810910964,0.9535214153202283
487.6486868316059,1208.3024559733074,0.9684023843076013,0.9247291701570264
424.0409266030489,1502.917024010204,0.9766469378037829,0.9564560313122639
338.0922422538708,1442.6808271854225,0.9873741221066784,0.9364996035965684
149.59268672618467,1455.6185224577373,0.9969905306254656,0.9519632595065596
191.19550261233914,1391.571134816938,0.9944825086997615,0.9613476637326526
142.05626274916375,1597.0005053744667,0.9969605688074367,0.9511847265220112
165.49000013829703,1859.4703088115832,0.9957740476150629,0.9572798842746215
106.6542950347501,1485.2652906033786,0.99823443110768,0.976158171567603
128.2038671474345,1223.0554649461985,0.9979999019000584,0.9728482168601248
113.77283989058631,1530.4710969615478,0.9979815949449509,0.9580823908306789
369.0359969747495,1519.619406283889,0.9786382741858053,0.9703005508082989
382.8267229960578,1593.6144120509434,0.9772458233532059,0.9714536677236257
376.86056149555424,1049.2803888704327,0.9780695541688827,0.9568158724214675
251.20935752170743,1444.4608662866378,0.9911699613176153,0.9754846341380613
299.58687218708354,1417.8623815262417,0.9872474903147379,0.9676019875364479
231.04018908319415,1911.3137133405676,0.9923481771739414,0.9657518111034049
143.02333669316022,1527.3001021953726,0.99762959609195,0.9664341221175182
157.03778146268235,1836.6811074056716,0.9965233383927601,0.9826225615448645
145.88595943545423,1649.9809433621729,0.9972530382576938,0.9610794054235539
118.64407052317233,1895.595899695251,0.9965884049535592,0.9371971844862363
128.47963564250438,1473.5600315432428,0.9959845623650876,0.961681809590407
135.56458571959766,1769.0593596480414,0.9957916049307571,0.9745410149410715
128.8124571504628,1382.440180163368,0.9960208058173636,0.96158520929573
135.07864401338526,1621.4012402469034,0.9970048939074797,0.9576802968834357
182.19859582527508,1485.4838717991584,0.9945531828836641,0.9555390526086391
164.56785509516766,1566.5398108430165,0.9961165260194139,0.9678937641402742
295.4442940271001,1607.808097635759,0.9855982043771369,0.9576632378504539
289.8095344868244,1493.1424784187632,0.9873825979206287,0.9719913985835132
324.726721677868,1891.1461627911124,0.9909061080635444,0.9640367372727959
337.3169592377463,1656.0576404828869,0.987634587101929,0.9597561256887224
365.87847854147054,1433.127481133226,0.9859576703383429,0.9748380366392053
533.0047449917708,1832.288316887332,0.9749695289868763,0.9477029557159299
376.59525082056587,1732.4867520394732,0.9844123422713681,0.9590220104536848
